Area,Sub-area,Station,Max_DHWs,Year
Pacific Ocean,Eastern Pacific,"Isla del Coco, Costa Rica",14,1998
Pacific Ocean,Polynesia,Main Hawaiian Islands,14,2019
Pacific Ocean,Polynesia,Marquesas Islands,14,1998
Pacific Ocean,Polynesia,"Easter Island, Chile",14,2000
Pacific Ocean,Micronesia,Northern Mariana Islands,14,2017
Pacific Ocean,Micronesia,Western FSM,14,2020
Pacific Ocean,Melanesia,Fiji,14,2014
Pacific Ocean,Melanesia,Vanuatu,14,2024
Southeast Asia,Other Southeast Asia Stations,Northern Myanmar,14,2024
Southeast Asia,Other Southeast Asia Stations,"Malacca Strait, Malaysia",14,2024
Southeast Asia,Other Southeast Asia Stations,"Terengganu, Malaysia",14,2024
Southeast Asia,Coral Triangle,South Sulawesi,14,2010
Australia,Great Barrier Reef,Torres Strait,14,2024
Australia,Great Barrier Reef,Northern GBR,14,2024
Australia,Other Australia Stations,"Christmas Island, Australia",14,2010
Indian Ocean,Middle East,Bahrain,14,1986
Indian Ocean,Middle East,"Gulf of Tadjoura, Djubouti",14,2023
Indian Ocean,Western Indian Ocean,Kenya,14,2024
Pacific Ocean,Micronesia,Guam,13,2017
Southeast Asia,Other Southeast Asia Stations,"Andaman, India",13,2010
Southeast Asia,Other Southeast Asia Stations,"Great Nicobar, India",13,2024
Southeast Asia,Other Southeast Asia Stations,West Kalimantan,13,2024
Southeast Asia,Other Southeast Asia Stations,Southwestern Sumatra,13,2016
Southeast Asia,Coral Triangle,West Timor,13,2016
Australia,Other Australia Stations,Beagle Gulf,13,2016
Indian Ocean,Western Indian Ocean,Northern Mozambique,13,2024
Indian Ocean,Western Indian Ocean,Southeastern Madagascar,13,2021
Atlantic ocean,Other Atlantic Ocean Stations,Bermuda,12,2022
Atlantic ocean, Gulf of Mexico,"Flower Garden Banks, Texas",12,2023
Pacific Ocean,Micronesia,Marshall Islands,12,2017
Southeast Asia,Other Southeast Asia Stations,Southern Myanmar,12,2010
Southeast Asia,Other Southeast Asia Stations,Spratly Islands,12,2024
Southeast Asia,Other Southeast Asia Stations,"Johor and Pahang, Malaysia",12,2010
Southeast Asia,Other Southeast Asia Stations,Lampung and Banten,12,2016
Southeast Asia,Coral Triangle,Western Philippines,12,2024
Southeast Asia,Coral Triangle,Eastern Philippines,12,2024
Southeast Asia,Coral Triangle,"Sabah, Malaysia",12,2024
Southeast Asia,Coral Triangle,East Kalimantan,12,2010
Australia,Great Barrier Reef,Central GBR,12,2024
Australia,Other Australia Stations,"Pulu Keeling, Australia",12,2016
Australia,Other Australia Stations,Gulf of Carpentaria,12,2016
Indian Ocean,Middle East,Eastern Persian Gulf,12,1986
Indian Ocean,Middle East,"Dhofar, Oman",12,2024
Indian Ocean, South Asia,Southern Sri Lanka,12,2016
Atlantic ocean,Brazil,Trinadade and Martim Vaz,11,2024
Pacific Ocean,Polynesia,Tuamotu Archipelago,11,2017
Pacific Ocean,Micronesia,Palau,11,2017
Southeast Asia,Other Southeast Asia Stations,Brunei Darussalam,11,2024
Southeast Asia,Coral Triangle,North Sulawesi,11,2010
Southeast Asia,Coral Triangle,Central Sulawesi and Gorontalo,11,2024
Southeast Asia,Coral Triangle,West Sulawesi,11,2010
Southeast Asia,Coral Triangle,South East Sulawesi,11,2024
Australia,Other Australia Stations,Northern Territory,11,2018
Indian Ocean,Middle East,Eastern Yemen,11,2024
Indian Ocean, South Asia,Gulf of Mannar,11,2016
Indian Ocean, South Asia,Maldives,11,2016
Indian Ocean,Western Indian Ocean,Somalia,11,2024
Indian Ocean,Western Indian Ocean,Comoros,11,2024
Pacific Ocean,Polynesia,Pitcairn Islands,10,2006
Pacific Ocean, US Pacific Remote Islands,Wake Atoll,10,2014
Southeast Asia,Other Southeast Asia Stations,Riau Islands,10,2024
Southeast Asia,Coral Triangle,Southern Philippines,10,2024
Southeast Asia,Coral Triangle,"North Maluku, Indonesia",10,2010
Southeast Asia,Coral Triangle,"Maluku, Indonesia",10,2022
Indian Ocean,Western Indian Ocean,"Mayotte, France",10,2024
Indian Ocean,Western Indian Ocean,"Inhambane, Mozambique",10,2021
Pacific Ocean,Melanesia,West Papua,9,2024
Pacific Ocean,Melanesia,Solomon Islands,9,2023
Southeast Asia,Other Southeast Asia Stations,Singapore Strait,9,2024
Southeast Asia,Other Southeast Asia Stations,Bangka-Belitung Islands,9,2010
Australia,Other Australia Stations,Rowley Shoals,9,2016
Indian Ocean, South Asia,"Lakshadweep, India",9,2024
Indian Ocean, South Asia,Southeastern India,9,2024
Indian Ocean,Western Indian Ocean,"Bassas da India, France",9,2021
Indian Ocean,Middle East,"Aden, Yemen",8,2024
Indian Ocean,Western Indian Ocean,"Maputo, Mozambique",8,2020
Pacific Ocean,Eastern Pacific,"Clipperton Island, France",7,2024
Pacific Ocean,Polynesia,Society Archipelago,7,2024
Pacific Ocean, US Pacific Remote Islands,Johnston Atoll,7,2014
Southeast Asia,Other Southeast Asia Stations,"Northern Borneo, Malaysia",7,2024
Southeast Asia,Other Southeast Asia Stations,Northern Java,7,2024
Southeast Asia,Coral Triangle,Timor-Leste,7,2022
Indian Ocean,Middle East,"Socotra, Yemen",6,2024
Indian Ocean, South Asia,Eastern Sri Lanka,6,2016
Indian Ocean,Western Indian Ocean,South Africa,5,2020
